IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:101:ffe2:2766:21db:1b2a:d1d9,190,210,200,0
2606:4700:3:3ba3:d52:ffd9:1e11:7f3b,190,211,201,0
2606:4700:440d:e8f7:9246:95e3:b8e5:1a6f,194,208,202,0
2606:4700:3007:d8ae:6dc9:6da7:16c6:bd1,193,216,202,0
2606:4700:440b:35a3:dc69:f836:e6bb:383a,192,210,202,0
2606:4700:6:4490:b2a4:425:a1af:e7b,193,211,203,0
2606:4700:4400:e3bb:b8e3:aa65:2c15:129c,191,218,203,0
2606:4700:8:a95b:ddfc:ca44:374c:8c7f,191,216,204,0
2606:4700:4:46f1:96e7:14f4:6aca:7a45,191,234,205,0
2606:4700:3003:9210:d92c:fda3:89f:cf86,197,217,209,0
2606:4700:300b:8a2f:8baa:e670:3982:5f16,194,223,209,0
2606:4700:3001:3047:48de:64c6:ab98:c0ab,199,218,209,0
2606:4700:4405:17e1:e9f7:77e1:59a6:2fc,190,230,210,0
2a06:98c1:58:d85f:42d1:e1d1:5af2:1d40,206,218,210,0
2a06:98c1:310d:7f31:26fb:8d5d:bd96:f0c,197,230,211,0
2a06:98c1:56:206:9297:8439:85db:369d,204,220,212,0
2606:4700:4409:9f63:5ede:a467:7cf8:ebd9,198,229,212,0
2606:4700:4401:408e:55bb:773d:e913:20ca,200,223,212,0
2606:4700:a1:a5e8:a461:b1f5:c377:f2d4,198,219,212,0
2606:4700:59:448d:a741:f4ae:574d:47d6,198,282,212,0
2606:4700:f4:5172:81e:76ac:5e3f:6c3f,189,275,213,0
2606:4700:4404:63f3:7965:d3f1:ae48:aa59,201,231,213,0
2606:4700:a9:5a3d:15e5:9cee:7d61:cbb,196,247,214,0
2606:4700:3009:3d00:e81e:7669:d57c:1d27,199,242,214,0
2a06:98c1:53:ded4:e47:2544:569b:8272,201,237,215,0
2606:4700:5c:8cc:218a:7e02:ca1b:de81,201,234,216,0
2606:4700:4402:1310:e8c3:570:2183:cf1b,199,236,217,0
2606:4700:4406:6b06:b844:855e:e8d:1035,206,237,217,0
2803:f800:54:8f04:6ec0:ec52:1249:6ae7,194,246,218,0
2606:4700:440c:cdd0:1ac9:dde9:ba2d:4026,201,245,218,0
2606:4700:54:1702:cc0c:4bc9:a656:4d77,206,250,218,0
2803:f800:52:ce2:e434:a485:b1bb:19fd,194,260,219,0
2606:4700:a0:d609:acf6:d9e3:a90d:a52d,205,237,220,0
2606:4700:c:257f:12aa:f469:ae77:9a03,206,248,221,0
2a06:98c1:3102:db98:b2ff:8c9e:f0ac:1264,202,252,221,0
2a06:98c1:3100:b67a:d2d0:f91a:8718:4da0,195,245,222,0
2606:4700:310c:3c29:83fa:d812:2f2b:1c1b,204,261,223,0
2a06:98c1:310e:d418:f7dd:8640:329a:9a0c,200,243,224,0
2606:4700:3055:e4b1:d8fb:cbd6:a280:9c5f,203,254,225,0
2a06:98c1:310c:44b8:3f40:205a:793e:148b,196,290,226,0
2606:4700:51:842:c377:6364:d4bc:959b,201,266,226,0
2a06:98c1:3104:32ae:3ff0:7320:4970:5fbc,189,267,227,0
2606:4700:b:cc49:2ebf:9c3d:eacb:918b,196,275,228,0
2606:4700:50:3be3:8f63:af8:5c8f:140,204,254,228,0
2a06:98c1:3106:c425:7f42:9327:ce12:4d9f,201,278,229,0
2a06:98c1:3107:88bc:fd90:e3ae:78ec:a61c,202,273,229,0
2606:4700:5:975:3102:e0cf:3d78:7b4f,204,272,230,0
2606:4700:1:7434:5f9:f971:b3c:c5f1,198,285,231,0
2400:cb00:f00e:3b34:554b:88c6:46ab:33a4,193,287,231,0
2606:4700:9:5be8:daf6:4afa:5866:4e73,194,270,233,0
2606:4700:52:b7e8:8f2b:418a:a0cf:1f0f,206,273,233,0
2a06:98c1:50:cf69:4e92:ad6f:4fa4:7646,203,287,233,0
2606:4700:e:b449:7a68:2c82:e0b3:3364,205,257,233,0
2400:cb00:2049:eb88:8cf5:13f4:9635:ce14,203,289,233,0
2606:4700:d:8cb1:858d:ef1a:73ea:3d74,203,275,234,0
2606:4700:4403:462e:4ff5:b66d:a834:aedf,202,284,234,0
2606:4700:7:8daf:a910:8f6c:aebb:10a3,207,297,236,0
2803:f800:50:c49a:5cbe:393:e666:7a86,199,296,237,0
2606:4700:0:f983:e25f:baa3:2635:ad99,203,292,240,0
2606:4700:5a:c463:1306:d5f5:a9ba:1b9a,184,209,199,10
2606:4700:300a:947d:758e:6b1e:e7c2:f7a7,189,214,200,10
2606:4700:4407:4d41:b8a0:a4f5:c970:6211,192,218,201,10
2606:4700:2:85ed:634d:2080:195e:5d77,194,222,201,10
2606:4700:5b:9f13:2d45:a4f1:af70:40ca,189,212,201,10
2606:4700:4408:58be:ad4f:447d:873f:5ce6,191,213,202,10
2606:4700:440a:e847:8c5f:3398:961e:58d5,196,212,207,10
2606:4700:56:c0e3:5bc2:74bd:89d3:63e0,199,226,211,10
2606:4700:f:652a:3134:235a:7123:b09d,202,224,212,10
2a06:98c1:3103:3364:1072:2484:6480:f911,200,227,212,10
2a06:98c1:310a:cc58:7891:e640:56b7:b8bf,203,220,212,10
2606:4700:3000:c139:9ac2:f8a1:a618:a875,202,227,213,10
2606:4700:3108:2d1b:6d26:5899:f152:13cc,201,223,217,10
2606:4700:3002:4b2a:9923:e4a3:be13:4042,204,295,222,10
2606:4700:57:9e68:c6f9:28e7:a727:1698,184,268,228,10
2606:4700:440e:2e61:c151:ddff:b111:d01c,193,272,229,10
2a06:98c1:3109:78fe:21d6:42e5:fc:ae5,199,285,229,10
2a06:98c1:310f:2c79:36f:6ebf:a88d:e7f0,203,268,229,10
2606:4700:53:362b:540f:7855:f1e7:d5fe,206,261,229,10
2803:f800:53:1440:1c90:d2f6:f7c5:de41,202,268,233,10
2606:4700:a:cad9:2628:422b:a5fb:ed3a,203,284,233,10
2606:4700:10f:12d1:c34f:f97e:1f31:8544,213,295,234,10
2a06:98c1:310b:82da:7cc2:3dd1:1553:6af1,199,276,236,10
2606:4700:440f:32b0:5efa:c6b5:b407:b5ae,218,279,236,10
2a06:98c1:3105:231c:6d19:2888:814e:8848,214,285,236,10
2a06:98c1:52:cd21:1dfb:317d:a324:ff57,215,284,236,10
2606:4700:58:7132:122f:68a4:d3f2:c441,216,277,236,10
2a06:98c1:51:4f45:6103:6025:f404:907a,220,297,238,10
2606:4700:3056:c292:148a:32dc:df7b:1470,222,287,238,10
2606:4700:4700:e038:f092:353d:ee4f:d5d9,206,288,240,10
2a06:98c1:3101:b890:9265:cbb6:918a:2cae,216,288,243,10
2606:4700:3004:c333:215:4173:2929:75b7,196,210,202,20
2606:4700:3110:b099:e329:27c6:e646:6e58,210,288,231,20
2803:f800:51:d49c:157e:e6ba:83e1:de0,217,287,242,20
2606:4700:311a:aba1:a60f:2ee2:826e:db3f,187,249,211,30
2a06:98c1:3108:690d:94d5:af9b:6090:b0eb,219,252,241,30
2606:4700:3008:5da0:9af2:3e45:8e30:80d6,192,211,200,40
2606:4700:311f:94a8:41df:8fb6:e80c:8cf4,200,215,207,50
2606:4700:19:a4fa:1c74:9516:414a:3846,206,256,224,50
2606:4700:3117:d47:a11e:2ce1:e7fc:dd50,222,279,243,50
2606:4700:3115:4594:2518:b395:8cda:f5dd,192,204,195,60
2606:4700:1c:6401:ad92:2f8d:d34b:bd6b,192,229,205,60
2606:4700:311e:f3cc:268a:7c2d:4ece:6ae7,202,237,217,60
2606:4700:3119:392d:a584:c198:e654:4014,186,243,218,60
2606:4700:3023:57c0:9363:6efe:7ab4:35d1,198,246,222,60
2606:4700:3116:2608:e7b2:1a8a:5a35:9452,217,232,225,60
2606:4700:3029:98a0:9f84:6289:29d0:533b,205,285,248,60
2606:4700:2c:aeea:3e3f:a8dd:eb53:57ed,203,299,262,60
2606:4700:3111:8fa3:f712:bd4:e32d:d0c3,206,229,217,70
2606:4700:25:9e08:c8ef:a371:8570:31d,204,254,231,70
2606:4700:13:f1c8:1b65:f2ea:bd21:dc0b,231,248,242,70
2606:4700:3017:a27d:825d:33e7:1386:126,226,255,243,70
2606:4700:20:913c:cd8d:afaa:1adb:378e,207,298,246,70
2606:4700:311d:e986:edff:8f72:99fc:d844,190,195,193,80
2606:4700:2b:e0e4:c07c:2363:e361:cd2f,191,205,198,80
2a06:98c1:3120:9be:e1f9:2651:b091:cc85,198,205,201,80
2606:4700:2d:f817:dd61:55da:eecb:8735,199,207,203,80
2606:4700:3026:d1bd:5d01:69c6:dfe2:d237,199,220,209,80
2606:4700:11:8b24:84d8:5fa0:34aa:2753,207,213,210,80
2606:4700:24:d5ee:6f14:25c8:5e29:c160,194,228,211,80
2606:4700:3032:72e:e5f1:9d0d:579d:df3,209,215,212,80
2606:4700:1f:e9f0:8862:9620:eea1:836b,208,218,213,80
2606:4700:3114:5175:fbad:fc70:cbc5:7843,209,227,218,80
2606:4700:3010:ef34:21bb:4eb9:c7ab:8623,182,259,221,80
2606:4700:3016:9c79:d378:1331:7e5e:fa9a,210,233,222,80
2606:4700:14:d661:47d9:19e2:2688:b67a,216,232,224,80
2606:4700:138:dff2:7129:5253:ba08:740e,206,283,245,80
2606:4700:3019:5867:a32e:1a8e:3b19:6bda,258,268,263,80
2606:4700:3027:cf00:c3e3:b894:3068:e3f8,189,189,189,90
2606:4700:13d:4271:b080:157a:6a27:b6cb,195,195,195,90
2606:4700:3014:3ecf:a167:5026:c513:cf23,198,198,198,90
2606:4700:13c:f5f0:640b:dd08:5340:ac3a,202,202,202,90
2606:4700:133:2dbb:3ca8:97e8:b94a:7c4f,203,203,203,90
2606:4700:3028:1e21:9850:40bf:5b84:aa8d,203,203,203,90
2a06:98c1:3121:9b11:9e3:40b2:895c:f9ae,203,203,203,90
2606:4700:3020:86cc:2c8d:d3f5:ddc7:f7f,207,207,207,90
2606:4700:2e:bb87:cb8e:3d5a:a208:3bfe,210,210,210,90
2606:4700:132:c6fe:43d7:bdb7:77b9:9289,211,211,211,90
2606:4700:27:ed0e:db0a:e5af:177:73dc,211,211,211,90
2606:4700:23:9319:9bbd:88e9:f6b8:37e7,216,216,216,90
2606:4700:26:2f9e:9058:cf83:d80a:16b,252,252,252,90
2606:4700:3021:bd78:f212:f2ee:a3bb:73fc,260,260,260,90
2606:4700:15:445a:f7b3:50f:eef7:cd6d,261,261,261,90
2606:4700:12:c3fe:4d69:2a8d:60ec:990a,278,278,278,90
2606:4700:1b:eea1:9ec1:a324:d1a6:26e1,284,284,284,90
2606:4700:139:89c6:9f90:adcb:8758:d821,285,285,285,90
2606:4700:3024:77d6:d139:80a6:4eaa:aefd,288,288,288,90
